AMD FX-6130 Six-Core,0.0,125.0,2013-03-01,AM3+,3600.0,3
AMD FX-6200 Six-Core,299.95,125.0,2012-03-01,AM3+,3800.0,3
AMD FX-6300 Six-Core,29.98,95.0,2012-10-01,AM3+,3500.0,3
AMD FX-6330 Six-Core,0.0,95.0,2016-11-01,AM3+,3600.0,3
AMD FX-6350 Six-Core,46.26,125.0,2013-05-01,AM3+,3900.0,3
AMD FX-670K Quad-Core,0.0,65.0,2014-04-01,FM2,3700.0,2
AMD FX-770K Quad-Core,0.0,65.0,2014-12-01,FM2+,3500.0,2
AMD FX-8100 Eight-Core,132.02,95.0,2012-01-01,AM3+,2800.0,4
AMD FX-8120 Eight-Core,32.53,125.0,2011-10-01,AM3+,3100.0,4
AMD FX-8140 Eight-Core,148.86,95.0,2012-03-01,AM3+,3200.0,4
AMD FX-8150 Eight-Core,50.03,125.0,2011-09-01,AM3+,3600.0,4
AMD FX-8300 Eight-Core,49.99,95.0,2013-01-01,AM3+,3300.0,4
AMD FX-8310 Eight-Core,831.15,95.0,2014-10-01,AM3+,3400.0,4
AMD FX-8320 Eight-Core,41.07,125.0,2012-10-01,AM3+,3500.0,4
AMD FX-8320E Eight-Core,132.0,95.0,2014-10-01,AM3+,3200.0,4
AMD FX-8350 Eight-Core,87.89,125.0,2012-10-01,AM3+,4000.0,4
AMD FX-8370 Eight-Core,178.9,125.0,2014-09-01,AM3+,4000.0,4
AMD FX-8370E Eight-Core,25.14,95.0,2014-09-01,AM3+,3300.0,4
AMD FX-9370 Eight-Core,129.97,220.0,2013-07-01,AM3+,4400.0,4
AMD FX-9590 Eight-Core,344.04,220.0,2013-08-01,AM3+,4700.0,4
AMD FX-B4150 Quad-Core,89.68,95.0,2013-02-01,AM3+,3800.0,2
AMD Phenom 8250e Triple-Core,46.99,65.0,2009-08-01,940,1900.0,3
AMD Phenom 8400 Triple-Core,0.0,95.0,2009-03-01,AM2+,2100.0,3
AMD Phenom 8450 Triple-Core,16.99,95.0,2008-12-01,AM2+,2100.0,3
AMD Phenom 8450e Triple-Core,0.0,65.0,2009-10-01,AM2+,2100.0,3
AMD Phenom 8600 Triple-Core,52.99,95.0,2009-02-01,AM2+,2300.0,3
AMD Phenom 8600B Triple-Core,14.95,95.0,2009-04-01,AM2+,2300.0,3
AMD Phenom 8650 Triple-Core,19.0,95.0,2008-12-01,AM2+,2300.0,3
AMD Phenom 8750 Triple-Core,0.0,95.0,2009-02-01,AM2+,2400.0,3
AMD Phenom 8750B Triple-Core,0.0,95.0,2009-05-01,AM2+,2400.0,3
AMD Phenom 8850 Triple-Core,0.0,95.0,2010-08-01,AM2+,2500.0,3
AMD Phenom 9100e Quad-Core,34.95,65.0,2009-02-01,AM2+,1800.0,4
AMD Phenom 9150e Quad-Core,247.5,65.0,2009-02-01,AM2+,1800.0,4
AMD Phenom 9350e Quad-Core,3382.07,65.0,2009-02-01,AM2+,2000.0,4
AMD Phenom 9450e Quad-Core,105.0,65.0,2010-03-01,AM2+,2100.0,4
AMD Phenom 9500 Quad-Core,29.99,95.0,2008-11-01,AM2+,2200.0,4
AMD Phenom 9550 Quad-Core,29.99,95.0,2008-12-01,AM2+,2200.0,4
AMD Phenom 9600 Quad-Core,39.95,95.0,2008-12-01,AM2+,2300.0,4
AMD Phenom 9600B Quad-Core,39.95,95.0,2009-03-01,AM2+,2300.0,4
AMD Phenom 9650 Quad-Core,39.99,95.0,2008-12-01,AM2+,2300.0,4
AMD Phenom 9750 Quad-Core,48.02,125.0,2008-12-01,AM2+,2400.0,4
AMD Phenom 9750B Quad-Core,0.0,95.0,2009-09-01,AM2+,2400.0,4
AMD Phenom 9850 Quad-Core,129.99,125.0,2008-11-01,AM2+,2500.0,4
AMD Phenom 9950 Quad-Core,199.99,125.0,2008-11-01,AM2+,2600.0,4
AMD Phenom II X2 545,43.98,80.0,2009-08-01,AM2+/AM3,3000.0,2
AMD Phenom II X2 550,41.35,80.0,2009-06-01,AM2+/AM3,3100.0,2
AMD Phenom II X2 555,12.99,80.0,2010-02-01,AM2+/AM3,3200.0,2
AMD Phenom II X2 565,168.87,80.0,2011-01-01,AM2+/AM3,3400.0,2
AMD Phenom II X2 570,0.0,80.0,2015-12-01,AM3,3500.0,2
AMD Phenom II X2 B53,0.0,80.0,2009-11-01,AM3,2800.0,2
AMD Phenom II X2 B55,37.95,80.0,2009-12-01,AM3,3000.0,2
AMD Phenom II X3 700e,0.0,65.0,2010-11-01,AM3,2400.0,3
AMD Phenom II X3 705e,152.34,65.0,2009-07-01,AM3,2500.0,3
AMD Phenom II X3 710,169.0,95.0,2009-02-01,AM3,2600.0,3
AMD Phenom II X3 720,64.45,95.0,2009-02-01,AM3,2800.0,3
AMD Phenom II X3 B73,75.0,95.0,2010-07-01,AM3,2800.0,3
AMD Phenom II X3 B75,49.95,95.0,2009-08-01,AM3,3000.0,3
AMD Phenom II X4 805,173.99,95.0,2009-04-01,AM3,2500.0,4
AMD Phenom II X4 810,213.0,95.0,2009-02-01,AM3,2600.0,4
AMD Phenom II X4 820,62.02,95.0,2009-11-01,AM3,2800.0,4
AMD Phenom II X4 840,42.0,95.0,2011-02-01,AM2+/AM3,3200.0,4
AMD Phenom II X4 900e,0.0,65.0,2010-11-01,AM3,2400.0,4
AMD Phenom II X4 905e,53.99,65.0,2009-06-01,AM3,2500.0,4
AMD Phenom II X4 910,100.0,95.0,2009-03-01,AM3,2600.0,4
AMD Phenom II X4 910e,69.9,65.0,2010-05-01,AM3,2600.0,4
AMD Phenom II X4 920,27.89,125.0,2009-01-01,AM2+,2800.0,4
AMD Phenom II X4 925,20.76,95.0,2009-03-01,AM3,2800.0,4
AMD Phenom II X4 940,870.0,125.0,2009-01-01,AM2+,3000.0,4
AMD Phenom II X4 945,26.95,125.0,2009-04-01,AM3,3000.0,4
AMD Phenom II X4 955,176.18,125.0,2009-03-01,AM3,3200.0,4
AMD Phenom II X4 960T,25.11,95.0,2011-06-01,AM3,3000.0,4
AMD Phenom II X4 965,74.02,125.0,2009-08-01,AM3,3400.0,4
AMD Phenom II X4 B15e,0.0,0.0,2010-11-01,AM2+/AM3,2500.0,4
AMD Phenom II X4 B25,0.0,0.0,2009-11-01,AM2+/AM3,2700.0,4
AMD Phenom II X4 B35,0.0,0.0,2009-11-01,AM2+/AM3,2900.0,4
AMD Phenom II X4 B50,0.0,0.0,2009-06-01,AM2+/AM3,3200.0,4
AMD Phenom II X4 B55,0.0,0.0,2010-02-01,AM2+/AM3,3300.0,4
AMD Phenom II X4 B65,0.0,0.0,2011-01-01,AM2+/AM3,3400.0,4
AMD Phenom II X4 B70,0.0,65.0,2016-06-01,AM2+ (938-pin),3500.0,4
AMD Phenom II X4 B93,0.0,95.0,2010-12-01,AM3,2800.0,4
AMD Phenom II X4 B95,62.02,95.0,2010-01-01,AM3,3000.0,4
AMD Phenom II X4 B97,79.95,95.0,2010-09-01,AM2+/AM3,3200.0,4
AMD Phenom II X6 1035T,108.0,95.0,2010-05-01,AM3,2600.0,6
AMD Phenom II X6 1045T,44.05,95.0,2010-09-01,AM3,2700.0,6
AMD Phenom II X6 1055T,49.21,125.0,2010-04-01,AM3,2800.0,6
AMD Phenom II X6 1065T,99.98,95.0,2011-03-01,AM3,2900.0,6
AMD Phenom II X6 1075T,66.03,125.0,2010-09-01,AM3,3000.0,6
AMD Phenom II X6 1090T,90.18,125.0,2010-04-01,AM3,3200.0,6
AMD Phenom II X6 1100T,128.85,125.0,2010-12-01,AM3,3300.0,6
AMD Phenom X3 8550,29.95,95.0,2009-05-01,AM2/AM2+,2200.0,3
AMD Phenom X4 Quad-Core GP-9500,0.0,95.0,2009-03-01,AM2+,2200.0,4
AMD Phenom X4 Quad-Core GP-9530,0.0,0.0,2016-10-01,AM2+ (940-pin),2200.0,4
AMD Phenom X4 Quad-Core GP-9600,0.0,95.0,2009-07-01,AM2+,2300.0,4
AMD Phenom X4 Quad-Core GP-9730,0.0,0.0,2016-10-01,AM2+ (940-pin),2400.0,4
AMD PRO A10-8750B,0.0,65.0,2015-11-01,FM2+,3600.0,2
AMD PRO A10-8770,0.0,65.0,2017-01-01,AM4,3500.0,4
AMD PRO A10-8770E,0.0,35.0,2017-01-01,AM4,2800.0,4
AMD PRO A10-8850B,0.0,95.0,2016-01-01,FM2+,3900.0,2
AMD PRO A10-9700,169.0,65.0,2016-11-01,AM4,3500.0,2
AMD PRO A10-9700E,139.0,35.0,2016-07-01,AM4,3000.0,2
AMD PRO A12-8870,0.0,65.0,2017-01-01,AM4,3700.0,4
AMD PRO A12-8870E,0.0,35.0,2016-11-01,AM4,2900.0,4
AMD PRO A12-9800,169.0,65.0,2017-01-01,AM4,3800.0,4
AMD PRO A12-9800E,169.0,35.0,2017-01-01,AM4,3100.0,4
AMD PRO A4-8350B,28.99,65.0,2016-02-01,FM2+,3500.0,1
AMD PRO A6-8550B,0.0,65.0,2016-06-01,FM2+,3700.0,1
AMD PRO A6-8570,0.0,65.0,2017-01-01,AM4,3500.0,2
AMD PRO A6-9500,74.0,65.0,2017-01-01,AM4,3500.0,2
AMD PRO A6-9500E,74.0,35.0,2017-01-01,AM4,3000.0,2
AMD PRO A8-8650B,0.0,65.0,2015-11-01,FM2+,3200.0,4
AMD PRO A8-8670E,0.0,35.0,2017-08-01,AM4,2800.0,4
AMD PRO A8-9600,119.0,65.0,2016-09-01,AM4,3100.0,2
AMD Ryzen 3 1200,54.5,65.0,2017-06-01,AM4,3100.0,4
AMD Ryzen 3 1300X,74.98,65.0,2017-08-01,AM4,3500.0,4
AMD Ryzen 3 2200G,248.02,65.0,2018-02-01,AM4,3500.0,4
AMD Ryzen 3 2200GE,0.0,35.0,2018-08-01,AM4,3200.0,4
AMD Ryzen 3 2300X,178.09,65.0,2019-01-01,AM4,3500.0,4
AMD Ryzen 3 3100,134.99,65.0,2020-05-01,AM4,3600.0,4
AMD Ryzen 3 3200G,94.99,65.0,2019-07-01,AM4,3600.0,4
AMD Ryzen 3 3200GE,0.0,35.0,2020-07-01,AM4,3300.0,4
AMD Ryzen 3 3300X,235.0,65.0,2020-05-01,AM4,3800.0,4
AMD Ryzen 3 4100,113.5,65.0,2022-04-01,AM4,3800.0,4
AMD Ryzen 3 4300G,149.66,65.0,2020-07-01,AM4,3800.0,4
AMD Ryzen 3 4300GE,0.0,35.0,2020-10-01,AM4,3500.0,4
AMD Ryzen 3 5300G,0.0,65.0,2021-06-01,AM4,4000.0,4
AMD Ryzen 3 5300GE,0.0,35.0,2021-06-01,AM4,3600.0,4
AMD Ryzen 3 PRO 1200,0.0,65.0,2017-08-01,AM4,3100.0,4
AMD Ryzen 3 PRO 1300,0.0,65.0,2017-09-01,AM4,3500.0,4
AMD Ryzen 3 PRO 2100GE,0.0,35.0,2019-05-01,AM4,3200.0,2
AMD Ryzen 3 PRO 2200G,0.0,65.0,2018-03-01,AM4,3500.0,4
AMD Ryzen 3 PRO 2200GE,0.0,35.0,2018-05-01,AM4,3200.0,4
